path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,match
fits/rho0p9_seed00_width64_constant.json,4487adcdeeffe8a0ae968b8e6588d0555494b151e654646d2beef56c897fb9e6,4487adcdeeffe8a0ae968b8e6588d0555494b151e654646d2beef56c897fb9e6,3562,3562,True
fits/rho0p9_seed01_width64_constant.json,2665ed6b06822c6e9249ebc1697a1e789c8b4262a3cf8a41cbbaeb8f46f53e92,2665ed6b06822c6e9249ebc1697a1e789c8b4262a3cf8a41cbbaeb8f46f53e92,3646,3646,True
fits/rho0p9_seed02_width64_constant.json,0b711dee527522d97e93f4d88c419b73e46f11dad3ac7fd7f078bd8178d428a7,0b711dee527522d97e93f4d88c419b73e46f11dad3ac7fd7f078bd8178d428a7,3632,3632,True
fits/rho0p9_seed03_width64_constant.json,3e6fae4fcacf3b9b30779d06e9c2b1d25562755954eafc0bcff5e8c6d08ce5e9,3e6fae4fcacf3b9b30779d06e9c2b1d25562755954eafc0bcff5e8c6d08ce5e9,3521,3521,True
fits/rho0p9_seed04_width64_constant.json,6a6bdf1dd0659028466e75489af7dd758e22a53ad7e0089d647fa22f458ec991,6a6bdf1dd0659028466e75489af7dd758e22a53ad7e0089d647fa22f458ec991,3624,3624,True
fits/rho0p9_seed05_width64_constant.json,e10c55939842030d75c2ed836df3b0c501683ff3c22f050ba189717a59f1b8a1,e10c55939842030d75c2ed836df3b0c501683ff3c22f050ba189717a59f1b8a1,3543,3543,True
fits/rho0p9_seed06_width64_constant.json,327027b22a427a5ef0221d6586081daa85853b6b56ad9d3ca2e3f4ab6a19449e,327027b22a427a5ef0221d6586081daa85853b6b56ad9d3ca2e3f4ab6a19449e,3591,3591,True
fits/rho0p9_seed07_width64_constant.json,21af329ae03ce11888087c89d4d76411c20639ba9f7fb03a92731f317b072fbd,21af329ae03ce11888087c89d4d76411c20639ba9f7fb03a92731f317b072fbd,3530,3530,True
fits/rho0p9_seed08_width64_constant.json,32669e5e61882a0e44038c0392c9ae42b800502449f4d5474f8904672241ac63,32669e5e61882a0e44038c0392c9ae42b800502449f4d5474f8904672241ac63,3575,3575,True
fits/rho0p9_seed09_width64_constant.json,0157abc8e7900da431a73d563c851ae18d66139bc89f494b55df7595bb7248de,0157abc8e7900da431a73d563c851ae18d66139bc89f494b55df7595bb7248de,3581,3581,True
fits/rho0p9_seed10_width64_constant.json,54e51dd23be7fc4f6689b483c435ae9320dd996d87c9f8ca6d7a3b4f2e6886f7,54e51dd23be7fc4f6689b483c435ae9320dd996d87c9f8ca6d7a3b4f2e6886f7,3553,3553,True
fits/rho0p9_seed11_width64_constant.json,c4329ae457d678f585ca6ce5c3eb14514e470c98a54a3ecd60c4a6cac4937e69,c4329ae457d678f585ca6ce5c3eb14514e470c98a54a3ecd60c4a6cac4937e69,3606,3606,True
fits/rho0p9_seed12_width64_constant.json,1e82b5675d35f6c3acfa45ad721cf3a093859972d1d28f0564b87bffadaa210c,1e82b5675d35f6c3acfa45ad721cf3a093859972d1d28f0564b87bffadaa210c,3614,3614,True
fits/rho0p9_seed13_width64_constant.json,182d197a96a0ddb82c224b9ccd42697d5c55957ba1950ef52c7c2559275b0461,182d197a96a0ddb82c224b9ccd42697d5c55957ba1950ef52c7c2559275b0461,3597,3597,True
fits/rho0p9_seed14_width64_constant.json,c71404eee5536b4eb0f2ca3d52fec2f361183a2a3d419fb011f1b2c2c66f4076,c71404eee5536b4eb0f2ca3d52fec2f361183a2a3d419fb011f1b2c2c66f4076,3646,3646,True
fits/rho0p9_seed15_width64_constant.json,e409f59b72b266bd6ec8e6029741fd66de04749b7fa78078fa76632b251db2ce,e409f59b72b266bd6ec8e6029741fd66de04749b7fa78078fa76632b251db2ce,3514,3514,True
fits/rho0p9_seed16_width64_constant.json,177a80e7f06e73e39213b3290016d4c409956c47803266be8b70742accfab545,177a80e7f06e73e39213b3290016d4c409956c47803266be8b70742accfab545,3568,3568,True
